date,all_oi_usd,btc_oi_usd,eth_oi_usd,others_oi_usd,btc_pct,eth_pct,others_pct,market_count
2022-02-18,2934956519.9269233,1634390596.9520001,650703143.55,649862779.4249232,55.68704633,22.1707933,22.14216037,95
2022-02-19,2789598964.356248,1553027645.0181,597993866.1045,638577453.2336478,55.67207562,21.4365532,22.89137118,95
2022-02-20,2812085601.0761585,1566518952.1069999,595390593.3479724,650176055.6211863,55.70665955,21.17256292,23.12077752,95
2022-02-21,2705570929.9816337,1519651559.256,565105662.936,620813707.7896336,56.16750026,20.8867436,22.94575614,95
2022-02-22,2572218936.848794,1414703345.96313,590427279.546,567088311.339664,54.9993364,22.95400563,22.04665797,95
2022-02-23,2683416462.6412983,1511986309.574,588153619.974,583276533.0932984,56.34557031,21.91808943,21.73634027,95
2022-02-24,2624641378.6998773,1482995703.9985,575632557.3615,566013117.3398771,56.50279372,21.93185561,21.56535068,96
2022-02-25,2478627158.763323,1351529599.805,576032396.618,551065162.3403227,54.52734571,23.23997761,22.23267668,96
2022-02-26,2578979645.70209,1421241298.573,566871258.205,590867088.9240898,55.10866675,21.98044716,22.91088609,99
2022-02-27,2611459153.3785195,1469329920.6285,556878049.5615001,585251183.1885195,56.26471005,21.32440206,22.41088789,99
2022-02-28,2517583694.1677794,1404009105.979,550713665.955,562860922.2337793,55.76812041,21.87469148,22.35718811,99
2022-03-01,2619294500.90204,1430794163.003,555665868.51,632834469.38904,54.6251734,21.21433341,24.16049319,100
2022-03-02,2746688032.505646,1536732418.0755,567118683.6895,642836930.7406462,55.94856059,20.64736428,23.40407513,100
2022-03-03,2641967602.168989,1473435360.404061,541561580.627,626970661.1379281,55.77037959,20.49841869,23.73120172,100
2022-03-04,2672323003.79679,1498351511.4685001,556669088.5339999,617302403.7942901,56.06925171,20.83090584,23.09984246,100
2022-03-05,2503447230.1296787,1390612264.144,536267372.89199996,576567593.0936787,55.54789601,21.42115745,23.03094653,100
2022-03-06,2593376358.906526,1448308941.425,547872707.9565,597194709.5250261,55.84646195,21.12584647,23.02769158,100
2022-03-07,2504778296.9818807,1366534424.428,553733463.579,584510408.9748807,54.55710096,22.10708486,23.33581418,100
2022-03-08,2458796841.6333575,1348502258.534,533267930.6525,577026652.4468577,54.84398856,21.68816559,23.46784585,100
2022-03-09,2531098678.292023,1403682988.7419999,519683733.824,607731955.7260233,55.45745809,20.53194284,24.01059907,100
2022-03-10,2731838034.1938405,1553512253.1890807,533012812.18350005,645312968.8212597,56.8669238,19.51114252,23.62193369,100
